Ticker,SMCI,SMCI,SMCI,SMCI,SMCI,SMCI,MSTR,MSTR,MSTR,MSTR,MSTR,MSTR
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,
2024-06-25,84.6510009765625,85.72200012207031,82.30000305175781,84.31199645996094,84.31199645996094,47024000,141.3769989013672,149.89999389648438,139.33900451660156,149.57400512695312,149.57400512695312,13537000
2024-06-26,84.3499984741211,85.21399688720703,80.8270034790039,83.11599731445312,83.11599731445312,45500000,147.22900390625,150.5019989013672,144.5,145.7729949951172,145.7729949951172,7502000
2024-06-27,83.10099792480469,89.27799987792969,82.56199645996094,89.03600311279297,89.03600311279297,71513000,148.5,153.89999389648438,146.35000610351562,152.5399932861328,152.5399932861328,9308000
2024-06-28,89.9000015258789,89.98799896240234,81.5199966430664,81.93499755859375,81.93499755859375,165059000,151.64199829101562,151.89999389648438,136.70199584960938,137.7480010986328,137.7480010986328,34113000
2024-07-01,83.14399719238281,83.19999694824219,77.38099670410156,81.23200225830078,81.23200225830078,71230000,141.0,143.59500122070312,136.30799865722656,136.5970001220703,136.5970001220703,14129000
2024-07-02,79.94000244140625,85.09200286865234,79.62899780273438,83.71700286865234,83.71700286865234,54936000,136.55099487304688,138.4409942626953,130.65699768066406,132.0189971923828,132.0189971923828,9229000
2024-07-03,83.71900177001953,85.71900177001953,82.10099792480469,84.69999694824219,84.69999694824219,31979000,129.8000030517578,132.8000030517578,127.34700012207031,130.20899963378906,130.20899963378906,6659000
2024-07-05,84.7300033569336,86.66999816894531,82.82499694824219,84.65799713134766,84.65799713134766,48093000,121.55000305175781,129.91700744628906,120.23200225830078,128.1719970703125,128.1719970703125,15029000
2024-07-08,86.4000015258789,92.68800354003906,86.00499725341797,89.93399810791016,89.93399810791016,98216000,131.4530029296875,132.5,125.87799835205078,129.05799865722656,129.05799865722656,8736000
